condition,system,source,knob,knob_value,n_turns,cutoff_rate,cutoff_rate_at_tolerance,false_hold_rate,latency_p50,latency_p95,latency_p99,latency_fallback_p50,latency_fallback_p95,latency_fallback_p99
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.45,198,0.6464646464646465,0.6111111111111112,0.2676767676767677,256.0,851.1999999999995,1322.2399999999998,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.5,198,0.5909090909090909,0.5656565656565656,0.3383838383838384,256.0,916.7999999999997,1232.9599999999996,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.55,198,0.5656565656565656,0.5404040404040404,0.3787878787878788,256.0,624.0,688.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.6,198,0.18686868686868688,0.18686868686868688,0.7222222222222222,416.0,1751.9999999999998,1860.7999999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.65,198,0.030303030303030304,0.030303030303030304,0.9545454545454546,704.0,1625.6,1707.52,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.7,198,0.030303030303030304,0.030303030303030304,0.9646464646464646,1728.0,1728.0,1728.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.75,198,0.030303030303030304,0.030303030303030304,0.9646464646464646,1728.0,1728.0,1728.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.8,198,0.030303030303030304,0.030303030303030304,0.9646464646464646,1728.0,1728.0,1728.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.85,198,0.030303030303030304,0.030303030303030304,0.9646464646464646,1728.0,1728.0,1728.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.9,198,0.030303030303030304,0.030303030303030304,0.9646464646464646,1728.0,1728.0,1728.0,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1,silero_caller,threshold,0.95,198,0.0,0.0,1.0,,,,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.05,198,0.22727272727272727,0.2222222222222222,0.07575757575757576,256.0,553.6000000000004,1052.4799999999996,256.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.1,198,0.21212121212121213,0.20707070707070707,0.1111111111111111,256.0,715.1999999999998,1302.399999999996,256.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.15,198,0.1919191919191919,0.18686868686868688,0.17676767676767677,256.0,716.7999999999997,1209.6000000000008,256.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.2,198,0.16161616161616163,0.15656565656565657,0.21212121212121213,256.0,800.0,1297.2799999999997,256.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.25,198,0.13131313131313133,0.12626262626262627,0.29292929292929293,256.0,800.0,1248.0,256.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.3,198,0.12121212121212122,0.11616161616161616,0.3333333333333333,256.0,820.7999999999997,1515.8399999999979,384.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.35,198,0.10101010101010101,0.09595959595959595,0.40404040404040403,256.0,804.7999999999997,1185.92,720.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.4,198,0.09595959595959595,0.09090909090909091,0.4696969696969697,256.0,800.0,1030.4000000000015,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.45,198,0.09595959595959595,0.09090909090909091,0.5404040404040404,256.0,747.2000000000003,1121.9200000000028,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.5,198,0.09090909090909091,0.08585858585858586,0.6111111111111112,256.0,559.9999999999991,1015.0400000000009,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.55,198,0.08080808080808081,0.07575757575757576,0.6515151515151515,256.0,486.39999999999986,750.0799999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.6,198,0.030303030303030304,0.030303030303030304,0.8333333333333334,256.0,1554.5999999999997,1846.3999999999996,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.65,198,0.005050505050505051,0.005050505050505051,0.9646464646464646,352.0,1472.0,1676.8000000000002,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.7,198,0.005050505050505051,0.005050505050505051,0.9747474747474747,256.0,1507.1999999999994,1683.8399999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.75,198,0.005050505050505051,0.005050505050505051,0.9747474747474747,256.0,1507.1999999999994,1683.8399999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.8,198,0.005050505050505051,0.005050505050505051,0.9747474747474747,256.0,1507.1999999999994,1683.8399999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.85,198,0.005050505050505051,0.005050505050505051,0.9747474747474747,256.0,1507.1999999999994,1683.8399999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.9,198,0.005050505050505051,0.005050505050505051,0.9747474747474747,256.0,1507.1999999999994,1683.8399999999997,2000.0,2000.0,2000.0
asr_16k_content,text_eot_v1.1+gate200,silero_caller,threshold,0.95,198,0.0,0.0,1.0,,,,2000.0,2000.0,2000.0
