system,source,knob,knob_value,n_turns,cutoff_rate,cutoff_rate_at_tolerance,false_hold_rate,latency_p50,latency_p95,latency_p99,latency_fallback_p50,latency_fallback_p95,latency_fallback_p99
text_eot_v1.1+gate200,silero,threshold,0.35,198,0.06060606060606061,0.06060606060606061,0.51010101010101,224.0,256.0,408.3199999999988,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.4,198,0.050505050505050504,0.050505050505050504,0.5858585858585859,224.0,270.4000000000001,567.6800000000012,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.45,198,0.045454545454545456,0.045454545454545456,0.6212121212121212,224.0,256.0,366.3999999999987,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.5,198,0.045454545454545456,0.045454545454545456,0.6717171717171717,224.0,256.0,270.4000000000001,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.55,198,0.03535353535353535,0.03535353535353535,0.7121212121212122,240.0,256.0,272.31999999999994,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.6,198,0.005050505050505051,0.005050505050505051,0.8737373737373737,256.0,256.0,280.64,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.65,198,0.0,0.0,0.9646464646464646,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.7,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.75,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.8,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.85,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.9,198,0.0,0.0,0.9848484848484849,256.0,256.0,256.0,2000.0,2000.0,2000.0
text_eot_v1.1+gate200,silero,threshold,0.95,198,0.0,0.0,1.0,,,,2000.0,2000.0,2000.0
punctuation+gate200,silero,none,0.0,198,0.11616161616161616,0.1111111111111111,0.09090909090909091,256.0,454.39999999999964,632.3199999999997,256.0,2000.0,2000.0
text_eot+gate_sensitivity,silero,gate_ms,100.0,198,0.06565656565656566,0.06060606060606061,0.6565656565656566,160.0,201.5999999999999,238.72000000000003,2000.0,2000.0,2000.0
punctuation+gate_sensitivity,silero,gate_ms,100.0,198,0.1414141414141414,0.13636363636363635,0.08080808080808081,160.0,331.1999999999998,576.0,160.0,2000.0,2000.0
text_eot+gate_sensitivity,silero,gate_ms,200.0,198,0.045454545454545456,0.045454545454545456,0.6717171717171717,224.0,256.0,270.4000000000001,2000.0,2000.0,2000.0
punctuation+gate_sensitivity,silero,gate_ms,200.0,198,0.11616161616161616,0.1111111111111111,0.09090909090909091,256.0,454.39999999999964,632.3199999999997,256.0,2000.0,2000.0
text_eot+gate_sensitivity,silero,gate_ms,300.0,198,0.04040404040404041,0.04040404040404041,0.6767676767676768,320.0,352.0,366.4000000000001,2000.0,2000.0,2000.0
punctuation+gate_sensitivity,silero,gate_ms,300.0,198,0.10606060606060606,0.10101010101010101,0.09090909090909091,352.0,515.1999999999998,730.8799999999992,352.0,2000.0,2000.0
text_eot+gate_sensitivity,silero,gate_ms,500.0,198,0.015151515151515152,0.015151515151515152,0.6919191919191919,512.0,548.8,1307.84,2000.0,2000.0,2000.0
punctuation+gate_sensitivity,silero,gate_ms,500.0,198,0.07575757575757576,0.07575757575757576,0.12121212121212122,512.0,608.0,979.8399999999956,544.0,2000.0,2000.0
